Timestamp,Enter the last 4 digits of the collar id that you searched for: ,Approximately how long (in minutes) did you spend looking for that collar?,Did you find the collar you were searching for?,Enter the date when the collar was found:,Enter the time when the collar was found:,Approximately how far (in feet) was the collar from the GPS point?,Enter the date you searched for the collar:
11/11/2023 12:43,d5d5,20,Yes,11/11/2023,12:42:00 PM,6,11/11/2023
11/11/2023 12:50,325a,15,Yes,11/11/2023,12:50:00 PM,15,11/11/2023
11/11/2023 13:14,ef36,1,Yes,11/11/2023,1:14:00 PM,11,11/11/2023
11/11/2023 13:27,ef4a ,15,Yes,11/11/2023,1:27:00 PM,1,11/11/2023
11/11/2023 13:37,ef75 ,20,Yes,11/11/2023,1:37:00 PM,12,11/11/2023
11/12/2023 8:08,d4bc,5,Yes,11/12/2023,8:08:00 AM,6,11/12/2023
11/17/2023 9:38,D5b2,10,Yes,11/17/2023,9:35:00 AM,25,11/17/2023
11/17/2023 12:09,ef02,25,Yes,11/17/2023,11:45:00 AM,17,11/17/2023
11/18/2023 7:52,333e,8,Yes,11/18/2023,7:51:00 AM,9,11/18/2023
11/18/2023 8:01,ea16,5,Yes,11/18/2023,8:01:00 AM,6,11/18/2023
11/18/2023 8:08,e977,5,Yes,11/18/2023,8:08:00 AM,6,11/18/2023
11/18/2023 9:04,Eefc,5,Yes,11/18/2023,8:45:00 AM,15,11/18/2023
11/18/2023 9:24,32c6,10,No,11/18/2023,,,11/18/2023
11/18/2023 9:26,32c6,10,Yes,11/18/2023,9:00:00 AM,10,11/18/2023
11/18/2023 9:28,e8ff,15,No,11/18/2023,,,11/18/2023
11/18/2023 9:28,d4db ,15,No,11/18/2023,,,11/18/2023
11/18/2023 10:10,ed8a,20,Yes,11/18/2023,10:09:00 AM,6,11/18/2023
11/18/2023 10:16,E315,2,Yes,11/18/2023,10:15:00 AM,10,11/18/2023
11/18/2023 10:52,d5ad,15,No,11/18/2023,,,11/18/2023
12/1/2023 10:31,e93e,10,No,12/1/2023,,,12/1/2023
12/9/2023 8:45,D53e,5,Yes,12/9/2023,8:30:00 AM,10,12/9/2023
12/9/2023 11:52,1656,0,Yes,12/9/2023,11:50:00 AM,5,12/9/2023
12/9/2023 12:03,3975,2,Yes,12/9/2023,12:00:00 PM,5,12/9/2023
12/9/2023 12:53,163b,2,Yes,12/9/2023,12:50:00 PM,10,12/9/2023
12/15/2023 8:39,2286,2,Yes,12/15/2023,8:20:00 AM,5,12/15/2023
12/15/2023 8:40,1673,2,Yes,12/15/2023,8:20:00 AM,2,12/15/2023
12/15/2023 8:41,3439,2,Yes,12/15/2023,8:40:00 AM,2,12/15/2023
12/15/2023 8:59,Eadc,2,Yes,12/15/2023,8:50:00 AM,5,12/15/2023
12/15/2023 11:43,F804,10,No,12/15/2023,,,12/15/2023
12/15/2023 12:01,027e,2,Yes,12/15/2023,11:50:00 AM,5,12/15/2023
12/15/2023 12:24,1c5d,5,Yes,12/15/2023,12:20:00 PM,10,12/15/2023
12/16/2023 9:15,3439,15,No,12/16/2023,,,12/16/2023
12/16/2023 13:44,2f9e,20,Yes,12/16/2023,1:44:00 PM,6,12/16/2023
12/16/2023 14:02,2f9e,2,Yes,12/16/2023,1:45:00 PM,5,12/16/2023
